nan,nan_1,nan_2,nan_3,nan_4,nan_5,nan_6,nan_7,nan_8,nan_9,nan_10,nan_11,nan_12,nan_13,nan_14,nan_15,nan_16,nan_17,nan_18,nan_19,nan_20,nan_21,nan_22,nan_23,nan_24,nan_25,nan_26,nan_27,nan_28,nan_29,nan_30,nan_31,nan_32,nan_33,nan_34,nan_35,nan_36,nan_37
Stitch,WOCOMPANY_044,SDPLDEAL-122,nan,nan,Completed,nan,2025-04-01 00:00:00,nan,nan,nan,nan,Renewables,Flood Risk,nan,2025-04-29 00:00:00,SDPL/FY25-26/009,431620,509311.60000000003,431620,509311.60000000003,509311.60000000003,0,0,0,nan,nan,nan,nan,nan,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Sasuke,WOCOMPANY_002,SDPLDEAL-123,nan,nan,Completed,nan,2024-12-25 00:00:00,nan,nan,nan,nan,Mining,LiDAR Survey: LiDAR,nan,nan,nan,371193.2,438007.976,371193.2,438007.976,nan,0,0,438007.976,nan,nan,nan,nan,nan,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Alphonse,WOCOMPANY_009,SDPLDEAL-124,nan,nan,nan,nan,2025-07-24 00:00:00,nan,nan,nan,nan,Renewables,Others,nan,2025-07-31 00:00:00,SDPL/FY25-26/378,24664,29103.52,24664,29103.52,nan,0,0,29103.52,nan,nan,nan,nan,nan,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Timon,WOCOMPANY_046,SDPLDEAL-125,Proof of Concept,nan,Completed,nan,2025-09-08 00:00:00,Purchase Order,2025-09-11 00:00:00,2025-10-26 00:00:00,OWNER_001,Renewables,Others,SPECTRA,nan,nan,277470,327414.60000000003,277470,327414.60000000003,nan,0,0,327414.60000000003,nan,nan,45days,nan,45,Fully Billed,nan,Dec,nan,nan,nan,nan,nan
Gohan,WOCOMPANY_026,SDPLDEAL-126,One time Project,nan,Completed,nan,2025-09-10 00:00:00,Purchase Order,2025-08-01 00:00:00,2025-09-05 00:00:00,OWNER_001,Construction,Topography Survey: RGB,NONE,2025-09-15 00:00:00,SDPL/FY25-26/448,788298.4360000001,930192.1544799999,788298.4360000001,930192.1544799999,914425.1992,0,0,15766.955279999876,nan,nan,1,nan,1,Fully Billed,nan,October,nan,Closed,nan,nan,nan
Kaguya,WOCOMPANY_014,SDPLDEAL-127,One time Project,nan,Completed,nan,2025-09-12 00:00:00,Purchase Order,2025-09-15 00:00:00,2025-10-31 00:00:00,OWNER_003,Railways,Others,NONE,nan,nan,5061052.800000001,5972042.3040000005,nan,0,nan,5061052.800000001,5972042.3040000005,0,nan,nan,304 RKM,nan,304,nan,nan,nan,nan,nan,nan,nan,nan
Bugs Bunny,WOCOMPANY_028,SDPLDEAL-128,One time Project,nan,Ongoing,nan,2025-09-12 00:00:00,Purchase Order,2025-09-15 00:00:00,2025-10-31 00:00:00,OWNER_003,Railways,Others,NONE,nan,nan,8789158.711280001,10371207.279310402,nan,0,nan,8789158.711280001,10371207.279310402,0,nan,nan,580 RKM,nan,580,nan,nan,nan,nan,nan,nan,nan,nan
Armin,WOCOMPANY_020,SDPLDEAL-129,Annual Rate Contract,nan,Completed,2025-09-20 00:00:00,2025-09-10 00:00:00,Purchase Order,2025-07-24 00:00:00,2025-12-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,nan,nan,218478.6448,257804.800864,145653.49864,171871.1283952,nan,72825.14616,85933.6724688,171871.1283952,nan,nan,3 Quarter (Till Dec),nan,3,Fully Billed,nan,October,nan,Closed,nan,nan,nan
Armin,WOCOMPANY_020,SDPLDEAL-130,Annual Rate Contract,nan,Completed,2025-09-20 00:00:00,2025-09-11 00:00:00,Purchase Order,2025-07-24 00:00:00,2025-12-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,nan,nan,484453.98760000005,571655.705368,322971.035104,381105.82142272,nan,161482.952496,190549.88394528002,381105.82142272,nan,nan,3 Quarter (till December 2025),nan,3,Fully Billed,nan,Dec,nan,Closed,nan,nan,nan
Sakura,WOCOMPANY_002,SDPLDEAL-131,One time Project,nan,Pause / struck,nan,2025-09-17 00:00:00,Purchase Order,2025-09-15 00:00:00,2025-10-15 00:00:00,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,nan,nan,1224740.2480000001,1445193.49264,nan,0,nan,1224740.2480000001,1445193.49264,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,Stuck
Sakura,WOCOMPANY_002,SDPLDEAL-132,One time Project,nan,Pause / struck,nan,2025-09-17 00:00:00,Purchase Order,2025-09-15 00:00:00,2025-10-15 00:00:00,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,nan,nan,1219634.8,1439169.064,nan,0,nan,1219634.8,1439169.064,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,Stuck
Gojo,WOCOMPANY_005,SDPLDEAL-134,One time Project,nan,Completed,nan,2025-09-20 00:00:00,Purchase Order,2025-09-27 00:00:00,2025-10-15 00:00:00,OWNER_001,Mining,"Topography Survey: RGB, Mine survey",NONE,nan,SDPL/FY25-26/558,192009.24000000002,226570.9032,58823.64000000001,69411.8952,nan,133185.6,157159.008,69411.8952,nan,nan,865,nan,865,Partially Billed,nan,nan,nan,Open,nan,nan,nan
Faye Valentine,WOCOMPANY_010,SDPLDEAL-133,One time Project,nan,Completed,nan,2024-07-19 00:00:00,Purchase Order,2025-09-11 00:00:00,2025-09-19 00:00:00,OWNER_003,Renewables,Solar Inspection,NONE,nan,nan,57487090.490128,67834766.77835104,57487090.490128,67834766.77835104,57487090.490128,0,0,10347676.288223037,nan,nan,nan,nan,nan,Fully Billed,nan,nan,nan,nan,nan,nan,BIlled
Alias_160,WOCOMPANY_051,SDPLDEAL-135,One time Project,nan,Completed,nan,2025-07-25 00:00:00,Purchase Order,2025-05-01 00:00:00,2025-05-27 00:00:00,OWNER_001,Mining,"Mine survey, Topography Survey: RGB",SPECTRA,2025-10-07 00:00:00,SDPL/FY25-26/484,89407,105500.26000000001,89407,105500.26000000001,104886.61968,0,0,613.6403200000001,nan,nan,500,nan,500,Fully Billed,nan,October,nan,Closed,nan,nan,nan
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-136,One time Project,nan,Ongoing,nan,2025-09-27 00:00:00,Purchase Order,2025-09-29 00:00:00,2025-10-10 00:00:00,OWNER_003,Mining,Others,NONE,nan,nan,143051.2,168800.416,nan,0,nan,143051.2,168800.416,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-137,One time Project,nan,Ongoing,nan,2025-09-27 00:00:00,Purchase Order,2025-09-29 00:00:00,2025-10-30 00:00:00,OWNER_003,Mining,Others,NONE,nan,nan,143051.2,168800.416,nan,0,nan,143051.2,168800.416,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-138,One time Project,nan,Pause / struck,nan,2025-09-19 00:00:00,Purchase Order,2025-10-06 00:00:00,2025-10-30 00:00:00,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,nan,nan,261901.71324000004,309044.02162320004,nan,0,nan,261901.71324000004,309044.02162320004,0,nan,nan,1464.66 HA,nan,1464.66,Not billed yet,nan,nan,nan,nan,nan,nan,nan
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-139,One time Project,nan,Ongoing,nan,2025-10-03 00:00:00,Purchase Order,2025-09-20 00:00:00,2025-10-20 00:00:00,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,nan,nan,699730.012,825681.4141599999,nan,0,nan,699730.012,825681.4141599999,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
Trunks,WOCOMPANY_015,SDPLDEAL-140,One time Project,nan,Ongoing,nan,2025-10-08 00:00:00,Purchase Order,2025-09-29 00:00:00,2025-10-31 00:00:00,OWNER_003,Railways,LiDAR Survey: LiDAR,NONE,nan,nan,3237150,3819837,nan,0,nan,3237150,3819837,0,nan,nan,350 KM,nan,350,nan,nan,nan,nan,nan,nan,nan,nan
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-141,One time Project,nan,Not Started,nan,2025-10-09 00:00:00,Purchase Order,2025-09-30 00:00:00,2025-10-30 00:00:00,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,nan,nan,383192.23600000003,452166.83848000003,nan,0,nan,383192.23600000003,452166.83848000003,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
Inuyasha,WOCOMPANY_016,SDPLDEAL-142,One time Project,nan,Completed,2026-01-08 00:00:00,2025-10-14 00:00:00,Purchase Order,2025-10-17 00:00:00,2025-11-10 00:00:00,OWNER_003,Renewables,"Topography Survey: RGB, Hydrology, Flood Risk",NONE,nan,nan,419288,494759.84,nan,0,nan,419288,494759.84,0,nan,nan,1,nan,1,Stuck,nan,nan,nan,nan,nan,nan,nan
Patrick Star,WOCOMPANY_030,SDPLDEAL-143,One time Project,nan,Completed,2025-11-05 00:00:00,2025-10-16 00:00:00,Purchase Order,2025-10-08 00:00:00,2025-10-16 00:00:00,OWNER_001,Others,Hydrology,NONE,nan,nan,246640.00000000003,291035.2,246640.00000000003,291035.2,nan,0,0,291035.2,nan,nan,10 ha,nan,10,Fully Billed,nan,Dec,nan,nan,nan,nan,nan
Kaguya,WOCOMPANY_014,SDPLDEAL-144,One time Project,nan,Ongoing,nan,2025-10-27 00:00:00,Purchase Order,2025-11-03 00:00:00,2025-12-01 00:00:00,OWNER_003,Railways,"Road/rail survey, LiDAR Survey: LiDAR",NONE,nan,nan,4628199.600000001,5461275.528,nan,0,nan,4628199.600000001,5461275.528,0,nan,nan,278,nan,278,nan,nan,nan,nan,nan,nan,nan,nan
Sakura,WOCOMPANY_002,SDPLDEAL-145,One time Project,nan,Not Started,nan,2025-10-27 00:00:00,Purchase Order,2025-10-27 00:00:00,2025-11-03 00:00:00,OWNER_003,Mining,Raw images/videography,NONE,nan,nan,64373.04,75960.1872,nan,0,nan,64373.04,75960.1872,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-146,One time Project,nan,Ongoing,nan,2025-10-27 00:00:00,Purchase Order,2025-10-27 00:00:00,2025-11-03 00:00:00,OWNER_003,Mining,"LiDAR Survey: LiDAR, Mine survey",NONE,nan,nan,679308.2200000001,801583.6996,nan,0,nan,679308.2200000001,801583.6996,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
Katara,WOCOMPANY_037,SDPLDEAL-147,One time Project,nan,Partial Completed,2025-12-18 00:00:00,2025-10-28 00:00:00,Purchase Order,2025-11-03 00:00:00,2025-11-11 00:00:00,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey, Others",NONE,nan,nan,1850391.9360000002,2183462.48448,nan,0,nan,1850391.9360000002,2183462.48448,0,nan,nan,NA . Verbal confirmation for 59 km,nan,nan,nan,nan,nan,nan,nan,nan,nan,Stuck
Sakura,WOCOMPANY_002,SDPLDEAL-149,Monthly Contract,nan,Ongoing,nan,2025-10-30 00:00:00,Purchase Order,2025-11-01 00:00:00,2026-04-01 00:00:00,OWNER_003,Renewables,Others,SPECTRA,nan,nan,6011850,7093983,nan,0,nan,6011850,7093983,0,nan,nan,"4,875,000.000",nan,4,nan,nan,nan,nan,nan,nan,nan,nan
Dolphin,WOCOMPANY_029,SDPLDEAL-150,One time Project,nan,Ongoing,nan,2025-08-12 00:00:00,LOA/LOI,2025-08-20 00:00:00,2025-12-16 00:00:00,OWNER_002,Powerline,LiDAR Survey: LiDAR,NONE,nan,nan,5026523.2,5931297.376,nan,0,nan,5026523.2,5931297.376,0,nan,nan,1250 towers,nan,1250,nan,nan,nan,nan,nan,nan,nan,nan
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-151,One time Project,nan,Completed,2025-12-17 00:00:00,2025-11-06 00:00:00,Purchase Order,2025-11-10 00:00:00,2025-12-01 00:00:00,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,nan,SDPL/FY25-26/442,339130,400173.4,339130,400173.4,400173.4,0,0,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,Update Required
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-152,One time Project,nan,Completed,2026-01-09 00:00:00,2025-11-04 00:00:00,Email Confirmation,2025-11-07 00:00:00,2025-11-28 00:00:00,OWNER_003,Renewables,"Topography Survey: RGB, Hydrology",NONE,nan,nan,295968,349242.24000000005,nan,0,nan,295968,349242.24000000005,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,Update Required
Megumi,WOCOMPANY_007,SDPLDEAL-153,One time Project,nan,Completed,nan,2025-04-01 00:00:00,Purchase Order,2025-04-01 00:00:00,2025-04-10 00:00:00,OWNER_003,Renewables,Others,NONE,2025-03-31 00:00:00,SDPL/FY24-25/577,365779.45200000005,431619.75336000003,365779.45200000005,431619.75336000003,431620,0,0,-0.24664000000000003,nan,nan,1,nan,1,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Donkey,WOCOMPANY_040,SDPLDEAL-154,One time Project,nan,Ongoing,nan,2025-11-10 00:00:00,Purchase Order,2025-11-13 00:00:00,2025-12-31 00:00:00,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey, Raw images/videography",NONE,nan,nan,1346654.4000000001,1589052.192,nan,0,nan,1346654.4000000001,1589052.192,0,nan,nan,104 km,nan,104,nan,nan,nan,nan,nan,nan,nan,nan
Donkey,WOCOMPANY_040,SDPLDEAL-155,One time Project,nan,Ongoing,nan,2025-11-12 00:00:00,Purchase Order,2025-11-13 00:00:00,2026-01-31 00:00:00,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey",NONE,nan,nan,9089917.200000001,10726102.296,nan,0,nan,9089917.200000001,10726102.296,0,nan,nan,702,nan,702,nan,nan,nan,nan,nan,nan,nan,nan
Golden fish,WOCOMPANY_027,SDPLDEAL-156,Proof of Concept,nan,Not Started,nan,2025-10-16 00:00:00,LOA/LOI,2025-12-01 00:00:00,2025-12-31 00:00:00,OWNER_006,Mining,"LiDAR Survey: LiDAR, Volumetric survey",SPECTRA,nan,nan,0,0,nan,0,nan,0,0,0,nan,nan,0,nan,0,nan,nan,nan,nan,Open,nan,nan,Not Billable
Alphonse,WOCOMPANY_009,SDPLDEAL-157,One time Project,nan,nan,nan,2025-11-14 00:00:00,Purchase Order,2025-11-14 00:00:00,2025-11-14 00:00:00,OWNER_005,Renewables,Others,SPECTRA,2025-11-19 00:00:00,SDPL/FY25-26/549,277470,327414.60000000003,277470,327414.60000000003,321865.2,0,0,5549.400000000001,nan,nan,3 subscriptions,nan,3,Partially Billed,nan,nan,nan,nan,nan,nan,nan
Alphonse,WOCOMPANY_009,SDPLDEAL-158,One time Project,nan,Completed,2025-11-01 00:00:00,2025-10-23 00:00:00,Purchase Order,2025-10-16 00:00:00,2025-10-31 00:00:00,OWNER_001,Renewables,"Hydrology, Topography Survey: RGB",NONE,2025-11-21 00:00:00,SDPL/FY25-26/554,477248.4,563153.1120000001,477248.4,563153.1120000001,515428.27200000006,0,0,47724.840000000004,nan,nan,220HA,nan,220,Fully Billed,nan,November,nan,Closed,nan,nan,nan
Timon,WOCOMPANY_046,SDPLDEAL-159,One time Project,nan,Completed,2025-12-05 00:00:00,2025-11-08 00:00:00,Purchase Order,2025-11-03 00:00:00,2025-12-20 00:00:00,OWNER_001,Renewables,Others,SPECTRA,nan,nan,277470,327414.60000000003,277470,327414.60000000003,nan,0,0,327414.60000000003,nan,nan,45days,nan,45,Fully Billed,nan,Dec,nan,nan,nan,nan,nan
Timon,WOCOMPANY_046,SDPLDEAL-160,One time Project,nan,Completed,2025-12-04 00:00:00,2025-11-08 00:00:00,Purchase Order,2025-11-03 00:00:00,2025-12-20 00:00:00,OWNER_001,Renewables,"Powerline Inspection, Videography for construction monitoring, Others",SPECTRA,nan,nan,277470,327414.60000000003,277470,327414.60000000003,nan,0,0,327414.60000000003,nan,nan,45 days,nan,45,Not billed yet,nan,nan,nan,nan,nan,nan,nan
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-161,One time Project,nan,Completed,2026-01-08 00:00:00,2025-11-21 00:00:00,Purchase Order,2025-11-20 00:00:00,2025-11-30 00:00:00,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,nan,nan,304452.416,359253.85088000004,nan,0,nan,304452.416,359253.85088000004,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,Update Required
Whis,WOCOMPANY_025,SDPLDEAL-162,One time Project,nan,Partial Completed,2026-01-09 00:00:00,2025-12-01 00:00:00,Purchase Order,2025-12-01 00:00:00,2025-12-31 00:00:00,OWNER_003,Railways,LiDAR Survey: LiDAR,NONE,nan,nan,924900,1091382,nan,0,nan,924900,1091382,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
Rengoku,WOCOMPANY_002,SDPLDEAL-163,One time Project,nan,Not Started,nan,2025-12-01 00:00:00,Purchase Order,2025-12-01 00:00:00,2025-12-31 00:00:00,OWNER_003,Mining,"Topography Survey: RGB, LiDAR Survey: LiDAR",NONE,nan,nan,141818,167345.24000000002,nan,0,nan,141818,167345.24000000002,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
Alphonse,WOCOMPANY_009,SDPLDEAL-164,One time Project,nan,Completed,2025-11-28 00:00:00,2025-11-27 00:00:00,Purchase Order,2025-11-27 00:00:00,2025-12-23 00:00:00,OWNER_001,Renewables,Topography Survey: RGB,SPECTRA,2025-12-19 00:00:00,SDPL/FY25-26/894,511777.963004,603897.9963447199,511778.0123320001,603898.05455176,552719.0068000001,-0.049328000000000004,-0.05820704,51179.04775176,nan,nan,497Acres,nan,497,Fully Billed,nan,November,nan,Closed,nan,nan,nan
Alphonse,WOCOMPANY_009,SDPLDEAL-165,One time Project,nan,Completed,2025-12-19 00:00:00,2025-11-28 00:00:00,Purchase Order,2025-11-25 00:00:00,2025-12-25 00:00:00,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",SPECTRA,nan,nan,709081.3676,836716.0137680001,nan,0,nan,709081.3676,836716.0137680001,0,nan,nan,415Acers,nan,415,Fully Billed,nan,November,nan,nan,nan,nan,nan
Alphonse,WOCOMPANY_009,SDPLDEAL-166,One time Project,nan,Completed,2025-11-07 00:00:00,2025-11-28 00:00:00,Purchase Order,2025-11-13 00:00:00,2025-12-03 00:00:00,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",SPECTRA,nan,SDPL/FY25-26/900,487112.76680000004,574793.0648239999,487116.02244800003,574796.90648864,nan,-3.2556480000000003,-3.8416646400000003,574796.90648864,nan,nan,230Acres,nan,230,Fully Billed,nan,November,nan,nan,nan,nan,nan
Obito,WOCOMPANY_023,SDPLDEAL-167,One time Project,nan,Completed,2026-01-06 00:00:00,2025-12-05 00:00:00,Purchase Order,2025-12-11 00:00:00,2025-12-31 00:00:00,OWNER_003,Mining,Mine survey,NONE,nan,nan,1.2332,1.455176,nan,0,nan,1.2332,1.455176,0,nan,nan,40 Acres,nan,40,nan,nan,nan,nan,nan,nan,nan,Update Required
Stewie Griffin,WOCOMPANY_029,SDPLDEAL-168,One time Project,nan,Ongoing,nan,2025-12-17 00:00:00,Purchase Order,2025-12-22 00:00:00,2026-01-16 00:00:00,OWNER_002,Powerline,Thermography,NONE,nan,nan,608584.2000000001,718129.356,nan,0,nan,608584.2000000001,718129.356,0,nan,nan,105 Towers,nan,105,nan,nan,nan,nan,nan,nan,nan,nan
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-169,One time Project,nan,Not Started,nan,2025-12-13 00:00:00,Purchase Order,2025-12-13 00:00:00,2026-01-31 00:00:00,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,nan,nan,680726.4,803257.152,nan,0,nan,680726.4,803257.152,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
Sesshomaru,WOCOMPANY_017,SDPLDEAL-170,One time Project,nan,Completed,2026-01-06 00:00:00,2025-12-20 00:00:00,Purchase Order,2025-12-16 00:00:00,2026-01-31 00:00:00,OWNER_003,Renewables,Hydrology,NONE,nan,nan,308300,363794,nan,0,nan,308300,363794,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,Update Required
Erwin,WOCOMPANY_021,SDPLDEAL-171,One time Project,nan,Ongoing,nan,2025-12-17 00:00:00,Purchase Order,2025-12-22 00:00:00,2025-12-31 00:00:00,OWNER_001,Mining,"Topography Survey: RGB, Raw images/videography",NONE,nan,nan,425454,502035.72000000003,nan,0,nan,425454,502035.72000000003,0,nan,nan,10.5 KM,nan,10.5,Not billed yet,nan,nan,nan,nan,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-172,One time Project,nan,Completed,2025-12-23 00:00:00,2025-12-12 00:00:00,Purchase Order,2025-12-20 00:00:00,2025-12-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,nan,nan,53644.200000000004,63300.156,nan,0,nan,53644.200000000004,63300.156,0,nan,nan,300 HA,nan,300,Not billed yet,nan,nan,nan,nan,nan,nan,nan
Alias_160,WOCOMPANY_051,SDPLDEAL-173,One time Project,nan,Completed,2025-12-23 00:00:00,2025-12-12 00:00:00,Purchase Order,2025-12-20 00:00:00,2025-12-31 00:00:00,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,nan,nan,51852.360400000005,61185.785272,nan,0,nan,51852.360400000005,61185.785272,0,nan,nan,290,nan,290,Not billed yet,nan,nan,nan,nan,nan,nan,nan
Octopus,WOCOMPANY_002,SDPLDEAL-174,One time Project,nan,Ongoing,nan,2025-12-20 00:00:00,Purchase Order,2025-12-20 00:00:00,2026-01-31 00:00:00,OWNER_003,Mining,Others,NONE,nan,nan,43162,50931.16,nan,0,nan,43162,50931.16,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-175,One time Project,nan,Ongoing,nan,2025-12-22 00:00:00,Email Confirmation,2025-12-25 00:00:00,2026-01-15 00:00:00,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,nan,nan,289802,341966.36000000004,nan,0,nan,289802,341966.36000000004,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-176,One time Project,nan,Ongoing,nan,2025-12-22 00:00:00,Email Confirmation,2025-12-25 00:00:00,2026-01-15 00:00:00,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,nan,nan,289802,341966.36000000004,nan,0,nan,289802,341966.36000000004,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
Alphonse,WOCOMPANY_009,SDPLDEAL-177,Monthly Contract,nan,Not Started,nan,2025-12-16 00:00:00,Purchase Order,2025-11-01 00:00:00,2026-03-31 00:00:00,OWNER_005,Renewables,Surveillance- needs continues monitoring,SPECTRA + DMO,nan,nan,462450,545691,184980,218276.40000000002,213910.872,277470,327414.60000000003,4365.528,nan,nan,5,nan,5,nan,nan,nan,nan,nan,nan,nan,nan
Whale,WOCOMPANY_004,SDPLDEAL-178,Proof of Concept,nan,Completed,nan,nan,nan,nan,nan,OWNER_002,Powerline,"Thermography, LiDAR Survey: LiDAR, Powerline Inspection",SPECTRA,nan,nan,0,0,nan,0,nan,0,0,0,nan,nan,2 towers,nan,2,nan,nan,nan,nan,nan,nan,nan,nan
Squirtle,WOCOMPANY_049,SDPLDEAL-179,Proof of Concept,nan,Ongoing,nan,2025-12-24 00:00:00,Purchase Order,2025-12-24 00:00:00,2025-12-31 00:00:00,OWNER_002,Powerline,Powerline Inspection,SPECTRA,nan,nan,55494,65482.920000000006,nan,0,nan,55494,65482.920000000006,0,nan,nan,L/s,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-180,One time Project,nan,Ongoing,nan,2025-12-29 00:00:00,Email Confirmation,2025-12-31 00:00:00,2026-01-31 00:00:00,OWNER_003,Renewables,"Topography Survey: RGB, Hydrology",NONE,nan,nan,295968,349242.24000000005,nan,0,nan,295968,349242.24000000005,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
Turtle,WOCOMPANY_024,SDPLDEAL-181,Proof of Concept,nan,Details pending from Client,nan,2026-01-01 00:00:00,Purchase Order,2026-01-12 00:00:00,2026-02-12 00:00:00,OWNER_004,Mining,Mine survey,SPECTRA,nan,nan,184980,218276.40000000002,nan,0,nan,184980,218276.40000000002,0,nan,nan,150000,nan,150000,nan,nan,nan,nan,Open,nan,nan,nan
Bugs Bunny,WOCOMPANY_028,SDPLDEAL-182,One time Project,nan,Not Started,nan,2026-01-12 00:00:00,Email Confirmation,2026-01-09 00:00:00,2026-03-31 00:00:00,OWNER_003,Railways,LiDAR Survey: LiDAR,NONE,nan,nan,8986062.028800001,10603553.193984,nan,0,nan,8986062.028800001,10603553.193984,0,nan,nan,593,nan,593,nan,nan,nan,nan,nan,nan,nan,nan
Bulbasaur,WOCOMPANY_050,SDPLDEAL-185,One time Project,nan,Not Started,nan,2026-01-09 00:00:00,Email Confirmation,2026-01-12 00:00:00,2026-01-16 00:00:00,OWNER_004,Others,Others,SPECTRA,nan,nan,139072.89680000002,164106.01822400003,164106.01822400003,193645.10150432,69560.569792,-25033.121424,-29539.083280320003,124084.53171232001,Priority,nan,7000 images,nan,7000,nan,nan,nan,nan,nan,nan,nan,nan
Timon,WOCOMPANY_046,SDPLDEAL-186,One time Project,nan,Ongoing,nan,2026-01-06 00:00:00,Purchase Order,2026-01-13 00:00:00,2026-01-30 00:00:00,OWNER_001,Renewables,Others,NONE,nan,nan,209027.40000000002,246652.33200000002,nan,0,nan,209027.40000000002,246652.33200000002,0,nan,nan,1,nan,1,Not billed yet,nan,nan,nan,nan,nan,nan,nan
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-187,One time Project,nan,Not Started,nan,2026-01-09 00:00:00,Purchase Order,2026-01-19 00:00:00,2026-06-30 00:00:00,OWNER_003,Renewables,Others,NONE,nan,nan,610434,720312.12,nan,0,nan,610434,720312.12,0,nan,nan,6,nan,6,nan,nan,nan,nan,nan,nan,nan,nan
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-188,One time Project,nan,Not Started,nan,2026-01-09 00:00:00,Purchase Order,2026-01-19 00:00:00,2026-02-28 00:00:00,OWNER_003,Renewables,Others,NONE,nan,nan,215810,254655.80000000002,nan,0,nan,215810,254655.80000000002,0,nan,nan,2,nan,2,nan,nan,nan,nan,nan,nan,nan,nan
nan,WOCOMPANY_045,SDPLDEAL-189,Proof of Concept,nan,Ongoing,nan,2026-01-09 00:00:00,Purchase Order,2026-01-17 00:00:00,2026-03-31 00:00:00,OWNER_003,Railways,Others,NONE,nan,nan,1035854.087,1222307.82266,nan,0,nan,1035854.087,1222307.82266,0,nan,nan,30,nan,30,nan,nan,nan,nan,nan,nan,nan,nan
